Year,Units,Value
2000,Percentage (%) of Gross Domestic Product,12.59773117
2001,Percentage (%) of Gross Domestic Product,12.07973164
2002,Percentage (%) of Gross Domestic Product,11.53663355
2003,Percentage (%) of Gross Domestic Product,11.09430192
2004,Percentage (%) of Gross Domestic Product,11.01343077
2005,Percentage (%) of Gross Domestic Product,10.69603975
2006,Percentage (%) of Gross Domestic Product,10.66026225
2007,Percentage (%) of Gross Domestic Product,10.46038636
2008,Percentage (%) of Gross Domestic Product,10.23132885
2009,Percentage (%) of Gross Domestic Product,9.692106574
2010,Percentage (%) of Gross Domestic Product,9.942449927
2011,Percentage (%) of Gross Domestic Product,10.01032751
2012,Percentage (%) of Gross Domestic Product,9.738760895
2013,Percentage (%) of Gross Domestic Product,9.461801612999999
2014,Percentage (%) of Gross Domestic Product,9.447086854
2015,Percentage (%) of Gross Domestic Product,9.24342827
2016,Percentage (%) of Gross Domestic Product,9.162918608
2000,Per capita (£m),3033.958778
2001,Per capita (£m),2977.043967
2002,Per capita (£m),2898.963543
2003,Per capita (£m),2871.335939
2004,Per capita (£m),2907.169927
2005,Per capita (£m),2885.026973
2006,Per capita (£m),2927.297208
2007,Per capita (£m),2922.189008
2008,Per capita (£m),2817.086624
2009,Per capita (£m),2535.218959
2010,Per capita (£m),2629.434588
2011,Per capita (£m),2665.019096
2012,Per capita (£m),2609.449808
2013,Per capita (£m),2567.5407960000002
2014,Per capita (£m),2622.173235
2015,Per capita (£m),2601.274766
2016,Per capita (£m),2603.670175
